School,SalaryType,Year,ProfType,Amount
Amherst,Real,2020,All,"115,573"
Bates,Real,2020,All,"101,539"
Bowdoin,Real,2020,All,"114,601"
Carleton,Real,2020,All,"117,620"
Claremont McKenna,Real,2020,All,"138,183"
Colby,Real,2020,All,"111,341"
Colgate,Real,2020,All,"109,417"
Davidson,Real,2020,All,"102,411"
Furman,Real,2020,All,"87,947"
Grinnell,Real,2020,All,"109,613"
Hamilton,Real,2020,All,"107,611"
Haverford,Real,2020,All,"100,983"
Macalester,Real,2020,All,"98,937"
Middlebury,Real,2020,All,"112,177"
Oberlin,Real,2020,All,"97,483"
Pomona,Real,2020,All,"126,433"
Swarthmore,Real,2020,All,"123,619"
Vassar,Real,2020,All,"111,749"
Washington and Lee,Real,2020,All,"118,672"
Wesleyan,Real,2020,All,"111,714"
Williams,Real,2020,All,"122,391"
Amherst,Real,2020,Full,"155,833"
Bates,Real,2020,Full,"134,487"
Bowdoin,Real,2020,Full,"146,857"
Carleton,Real,2020,Full,"141,305"
Claremont McKenna,Real,2020,Full,"176,098"
Colby,Real,2020,Full,"145,971"
Colgate,Real,2020,Full,"151,654"
Davidson,Real,2020,Full,"134,729"
Furman,Real,2020,Full,"102,723"
Grinnell,Real,2020,Full,"139,558"
Hamilton,Real,2020,Full,"142,149"
Haverford,Real,2020,Full,"131,176"
Macalester,Real,2020,Full,"126,583"
Middlebury,Real,2020,Full,"140,387"
Oberlin,Real,2020,Full,"122,742"
Pomona,Real,2020,Full,"160,491"
Swarthmore,Real,2020,Full,"156,329"
Vassar,Real,2020,Full,"142,788"
Washington and Lee,Real,2020,Full,"143,853"
Wesleyan,Real,2020,Full,"158,455"
Williams,Real,2020,Full,"149,903"
Amherst,Real,2020,Associate,"110,986"
Bates,Real,2020,Associate,"105,217"
Bowdoin,Real,2020,Associate,"113,680"
Carleton,Real,2020,Associate,"107,210"
Claremont McKenna,Real,2020,Associate,"128,042"
Colby,Real,2020,Associate,"105,841"
Colgate,Real,2020,Associate,"108,479"
Davidson,Real,2020,Associate,"98,243"
Furman,Real,2020,Associate,"82,983"
Grinnell,Real,2020,Associate,"105,908"
Hamilton,Real,2020,Associate,"108,150"
Haverford,Real,2020,Associate,"101,031"
Macalester,Real,2020,Associate,"95,133"
Middlebury,Real,2020,Associate,"104,368"
Oberlin,Real,2020,Associate,"94,994"
Pomona,Real,2020,Associate,"120,016"
Swarthmore,Real,2020,Associate,"111,489"
Vassar,Real,2020,Associate,"111,493"
Washington and Lee,Real,2020,Associate,"115,712"
Wesleyan,Real,2020,Associate,"111,008"
Williams,Real,2020,Associate,"106,040"
Amherst,Real,2020,Assistant,"93,329"
Bates,Real,2020,Assistant,"85,862"
Bowdoin,Real,2020,Assistant,"91,352"
Carleton,Real,2020,Assistant,"88,514"
Claremont McKenna,Real,2020,Assistant,"108,670"
Colby,Real,2020,Assistant,"88,084"
Colgate,Real,2020,Assistant,"92,464"
Davidson,Real,2020,Assistant,"79,877"
