Year,ProfType,Amount
1999,All,"95,737"
2000,All,"98,314"
2001,All,"96,442"
2002,All,"98,782"
2003,All,"101,582"
2004,All,"113,328"
2005,All,"113,030"
2006,All,"113,746"
2007,All,"118,543"
2008,All,"113,222"
2009,All,"114,616"
2010,All,"112,913"
2011,All,"112,874"
2012,All,"112,617"
2013,All,"117,099"
2014,All,"116,644"
2015,All,"118,719"
2016,All,"114,707"
2017,All,"113,941"
2018,All,"110,117"
2019,All,"105,279"
2020,All,"102,411"
1999,Full,"118,499"
2000,Full,"120,336"
2001,Full,"122,185"
2002,Full,"124,735"
2003,Full,"127,046"
2004,Full,"135,909"
2005,Full,"136,786"
2006,Full,"137,335"
2007,Full,"139,887"
2008,Full,"134,947"
2009,Full,"135,710"
2010,Full,"132,801"
2011,Full,"133,124"
2012,Full,"135,365"
2013,Full,"138,431"
2014,Full,"140,476"
2015,Full,"140,171"
2016,Full,"139,827"
2017,Full,"137,674"
2018,Full,"137,488"
2019,Full,"137,673"
2020,Full,"134,729"
1999,Associate,"84,106"
2000,Associate,"86,407"
2001,Associate,"87,549"
2002,Associate,"91,073"
2003,Associate,"94,992"
2004,Associate,"105,093"
2005,Associate,"102,906"
2006,Associate,"102,225"
2007,Associate,"106,370"
2008,Associate,"102,144"
2009,Associate,"98,884"
2010,Associate,"97,786"
2011,Associate,"99,182"
2012,Associate,"100,768"
2013,Associate,"102,212"
2014,Associate,"103,745"
2015,Associate,"106,356"
2016,Associate,"108,464"
2017,Associate,"104,273"
2018,Associate,"101,035"
2019,Associate,"102,242"
2020,Associate,"98,243"
1999,Assistant,"68,568"
2000,Assistant,"68,848"
2001,Assistant,"71,245"
2002,Assistant,"71,825"
2003,Assistant,"77,614"
2004,Assistant,"84,680"
2005,Assistant,"80,994"
2006,Assistant,"76,298"
2007,Assistant,"83,860"
2008,Assistant,"75,018"
2009,Assistant,"71,980"
2010,Assistant,"72,093"
2011,Assistant,"77,205"
2012,Assistant,"78,223"
2013,Assistant,"81,659"
2014,Assistant,"80,132"
2015,Assistant,"82,091"
2016,Assistant,"78,910"
2017,Assistant,"79,025"
2018,Assistant,"75,826"
2019,Assistant,"84,021"
2020,Assistant,"79,877"
