Year,All,Full,Associate,Assistant,Tuition/Fees,2020 1$ EQV,Inf/Adj
1999,"95,737","118,499","84,106","68,568","22,228",1.553487395,"34,530.92"
2000,"98,314","120,336","86,407","68,848","23,094",1.502967481,"34,709.53"
2001,"96,442","122,185","87,549","71,245","23,995",1.462209041,"35,085.71"
2002,"98,782","124,735","91,073","71,825","24,930",1.438638134,"35,865.25"
2003,"101,582","127,046","94,992","77,614","25,902",1.406581522,"36,433.65"
2004,"113,328","135,909","105,093","84,680","27,171",1.37009529,"37,227.52"
2005,"113,030","136,786","102,906","80,994","28,667",1.325197132,"37,989.43"
2006,"113,746","137,335","102,225","76,298","30,194",1.283784723,"38,762.60"
2007,"118,543","139,887","106,370","83,860","31,794",1.248232388,"39,686.30"
2008,"113,222","134,947","102,144","75,018","33,479",1.202078002,"40,244.37"
2009,"114,616","135,710","98,884","71,980","35,124",1.206369998,"42,372.54"
2010,"112,913","132,801","97,786","72,093","36,683",1.186901529,"43,539.11"
2011,"112,874","133,124","99,182","77,205","38,886",1.150583047,"44,741.57"
2012,"112,617","135,365","100,768","78,223","40,809",1.127255068,"46,002.15"
2013,"117,099","138,431","102,212","81,659","42,849",1.110981854,"47,604.46"
2014,"116,644","140,476","103,745","80,132","45,377",1.093247331,"49,608.28"
2015,"118,719","140,171","106,356","82,091","46,966",1.091951211,"51,284.58"
2016,"114,707","139,827","108,464","78,910","48,376",1.078347714,"52,166.15"
2017,"113,941","137,674","104,273","79,025","49,949",1.055854275,"52,738.87"
2018,"110,117","137,488","101,035","75,826","51,447",1.030680148,"53,025.40"
2019,"105,279","137,673","102,242","84,021","52,524",1.012336842,"53,171.98"
2020,"102,411","134,729","98,243","79,877","55,000",1,"55,000.00"
