Year,Endowment,Enrollment,Per Student,Faculty,Per Faculty Member
1999,"435,541,794","1,652","263,645",152,"2,865,407"
2000,"502,842,801","1,679","299,489",153,"3,286,554"
2001,"467,829,553","1,673","279,635",153,"3,057,709"
2002,"419,173,625","1,644","254,972",154,"2,721,907"
2003,"400,619,058","1,712","234,006",158,"2,535,564"
2004,"454,671,081","1,714","265,269",158,"2,877,665"
2005,"506,063,388","1,683","300,691",159,"3,182,789"
2006,"541,785,214","1,667","325,006",162,"3,344,353"
2007,"610,433,448","1,664","366,847",164,"3,722,155"
2008,"613,288,483","1,668","367,679",166,"3,694,509"
2009,"456,240,342","1,743","261,756",163,"2,799,021"
2010,"512,021,847","1,742","293,928",167,"3,065,999"
2011,"590,935,426","1,756","336,524",162,"3,647,750"
2012,"574,979,766","1,790","321,218",170,"3,382,234"
2013,"627,431,272","1,788","350,912",174,"3,605,927"
2014,"710,347,888","1,770","401,326",179,"3,968,424"
2015,"745,426,067","1,784","417,840",176,"4,235,375"
2016,"713,902,276","1,796","397,496",185,"3,858,931"
2017,"771,194,621","1,810","426,074",188,"4,102,099"
2018,"846,990,293","1,843","459,572",196,"4,321,379"
2019,"892,340,575","1,837","485,760",203,"4,395,766"
2020,"905,857,948","1,983","456,812",202,"4,484,445"
